nameOfAuthor,listOfAuthors,studentPublication,title,typeOfPublication,nameOfPublicationPlatform,scopus,wos,publicationDetails,year,month,academicYear,url,doi,identificationNumber,indexing,noOfCitations,abstract,keywords,specialization,status,link,dateOfPublication,Unnamed: 23,Unnamed: 24,Unnamed: 25
Gali Suresh Reddy,"Ch.Bhanu Pramod, Dr. G.Suresh Reddy",Yes,A Tool For Malware And Malicious URL Classification (MAMUC),Journal,Turkish Journal of Computer and Mathematics Education,No,No,Volume 12 Issue 14,2021.0,October,2021-22,https://turcomat.org/index.php/turkbilmat/article/view/10895,https://turcomat.org/index.php/turkbilmat/article/view/10895,e-ISSN 1309-4653,"Scopus, Google Scholar",0.0,"With the rise in use of internet ,also have grown the security concerns associated with it. The most common threats that we encounter on the internet are Malicious URLs and Malware.Traditional solutions for combating these threats, are to build a databases of known sources of trouble or/and using filters to restrict access to resources. This is however not dynamic enough to detect attacks of smart Cyber-criminals. Techniques such as type-squatting, domain-squatting , code obfuscation,etc are hard to identify using conventional methods. Thus to stay one step ahead in the war against Cyber-crime we need to use Machine and Deep learning enabled methods in our defense equipment . The tool Malware and Malicious URL Classifier (MAMUC) is a unique tool which has 3 features. The first feature helps us to identify if a given URL is malicious or benign. This classifier runs on a novel Malben dateset. The second feature is used to covert a malware sample from byte-code to its corresponding malware image. This called as malware visualization,which is a strategy used in static malware inspection. The third feature of the tool is a malware classifier. Once malware is converted to an image ,its analysis is simplified to a case of image classification. This part identifies to which family an input malware is most closely associated with. Once the malware family is identified it is easier to deal with it. The novelty we have employed in this classifier is the use of Dual channel CNN(DCCNN) algorithm for malware classification","Malware visualization, URL classification , Malware classification,Deep Learning, DCCNN .",,,,2021-10-01,,,
B Jalender,"B Jalender, A Govardhan, P Premchand, C Kiranmai, G Suresh Reddy",No,Drag and drop: influences on the design of reusable software components,Journal,International Journal on Computer Science and Engineering (IJCSE),yes,no,"Vol. 02, No. 07, 2010,",2011.0,March,2010-11,https://arxiv.org/abs/1103.1497,,ISSN 2386-2393,"Scopus, Google Scholar",8.0,"The fundamental unit of large scale software construction is the component. A component is the fundamental user interface object in Java. Everything you see on the display in a java application is a component. The ability to let users drag a component from the Interface and drop into your application is almost a requirement of a modern, commercial user interface. The CBD approach brings high component reusability and easy maintainability, and reduces time-to-market. This paper describes the component repository which provides functionality for component reuse process through the drag and drop mechanism and it's influences on the reusable components"," component, java, user interface, reusability, drag and drop",,,,2011-03-08,,,
V Radhakrishna,"Vangipuram Radhakrishna, Gali Suresh Reddy, Puligadda Veereswara Kumar, Vinjamuri Janaki",No,Challenge Paper: The Vision for Time Profiled Temporal Association Mining,journal,Journal of Data and Information Quality (JDIQ),Yes,Yes,"Vol. 13, No. 2, Article 12, Publication date: May 2021.",2021.0,May,2020-21,https://dl.acm.org/doi/pdf/10.1145/3404198,DOI: https://doi.org/10.1145/3404198,ISSN:1936-1955,ACM,0.0,"TIME PROFILED TEMPORAL ASSOCIATION MINING, DATA HANDLING AND DATA QUALITY ISSUES IN TIME PROFILED ASSOCIATION MINING, FRAMEWORK FOR ADDRESSING UNADDRESSED SOLUTION IN TIME PROFILED ASSOCIATION MINING, CONCLUDING REMARKS","Temporal data mining, similarity model, support sequence, time profiled temporal association pattern",,,VRK-J097,2021-05-13,,,
V Radhakrishna,"Aljawarneh S.A., Radhakrishna V., Atwood J.W.",No,Ultimate - Unearthing latent time profiled temporal associations,Conference,ACM International Conference Proceeding Series,Yes,Yes,Publisher Association for Computing Machinery,2019.0,March,2018-19,https://dl.acm.org/doi/10.1145/3279996.3280025,10.1145/3279996.3280025,9.78E+12,Association for Computing Machinery,37.0,"Discovery of temporal association patterns from temporal databases is extensively studied by academic research community and applied in various industrial applications. Temporal association pattern discovery is extended to similarity based temporal association pattern discovery from time-stamped transaction databases by Sashi Sekhar, Yoo using methods to estimate support limits and distance limits of temporal item sets. Yoo also introduced methods for pruning using distance bounds and proposed SEQUENTIAL, SPAMINE approaches. Our previous research introduced algorithms G-SPAMINE, MASTER, Z-SPAMINE for time profiled association pattern discovery that applied distance measures SRIHASS, ASTRA, GARUDA, and KRISHNA SUDARSANA for similarity computations. SEQUENTIAL, SPAMINE, G-SPAMINE, MASTER, Z-SPAMINE approaches are all based on snapshot and lattice database scan strategies that prune itemsets making use of estimated support and distance values. The major limitation of all these algorithms is their inevitability to eliminate database scanning process for knowing true supports of itemsets. To eliminate the requirement of retaining database in main memory in order to know true supports, VRKSHA and GANDIVA are two pioneering research that introduced tree structure for time profiled association mining. VRKSHA is based on snapshot tree scan technique while GANDIVA is lattice tree scan based approach. VRKSHA and GANDIVA both apply Euclidean distance function but does not estimate support and distance bounds. This research introduced the pioneering work ULTIMATE that uses a novel tree structure generated using similarity measure ASTRA and applies support and distance bound computations for pruning temporal patterns. Experiment results showed that ULTIMATE outperforms SEQUENTIAL, SPAMINE, G-SPAMINE, MASTER, VRKSHA, GANDIVA algorithms.","distance, temporal, association, discovery, research, support, tree, based, introduced, gandiva",,,VRK-C076,2018-10-01,,,
V Radhakrishna,"Shadi Aljawarneh, Vangipuram Radhakrishna, Gali Suresh Reddy",No,Mantra: a novel imputation measure for disease classification and prediction,Conference,"DATA'21: International Conference on Data Science, E-learning and Information Systems 2021",Yes,Yes,"Article No.: 25, Pages 15",2021.0,May,2020-21,https://dl.acm.org/doi/10.1145/3279996.3280021,https://doi.org/10.1145/3279996.3280021,ISBN: 978-1-4503-6536-9,ACM,38.0,"Medical record instances can have missing values which makes them unsuitable for learning process. Data Imputation is normally done to fill one or more missing data attribute values. Imputation helps to perform supervised or un-supervised learning after the dataset is free from missing data. Learning process helps the discovery of hidden, valuable and important information that can provide insightful results. Imputation is a data pre-processing task that requires applying distance function to find missing values. In this paper, a distance function named MANTRA is proposed to impute missing data values. The distance function is also called as the imputation measure since it is designed for imputation of missing values. A working example is demonstrated that shows how imputation is achieved using proposed distance function, MANTRA. It is proved that the nominal value that is filled after imputation is same as the original.","Medical records, missing values, data imputation, supervised learning, unsupervised learning, hidden information, data pre-processing, distance function, MANTRA, imputation measure, working example, nominal value, original value.",,,VRK-C075,2018-10-01,,,
Dr Dammavalam Srinivasa Rao,"N. Rajasekhar Ch Ramesh Babu, Dammavalam Srinivasa Rao, V. Sravan Kiran",No,Assessment of Plant Disease Identification using GLCM and KNN Algorithms,Journal,International Journal of Recent Technology and Engineering (IJRTE),No,No,"Volume 8, Issue 5, Pages 4900-4904, Publisher Blue Eyes Intelligence Engineering & Sciences Publication",2020.0,January,2019-20,https://www.ijrte.org/wp-content/uploads/papers/v8i5/E5018018520.pdf,https://www.ijrte.org/download/volume-8-issue-5/,ISSN 2277-3878,International Journal of Recent Technology and Engineering,1.0,"One of the significant segments of Indian Economy isCultivation. Occupation to almost 50% of the nations labor forceis delivered by Indian cultivation segment. India is recognized to be the world's biggest manufacturer of pulses, rice, wheat, spices and spice harvests. Agronomist's financial progress is contingent on the excellence of the goods that they yield, which depend on on the plant's progress and the harvest they get. Consequently, in ground of cultivation, recognition of disease in plants shows an involved part. Plants are exceedingly disposed to to infections that disturb the progress of the plant which in chance distresses the natural balance of the agronomist. In order to distinguish a plant disease at right preliminary period, usage of automatic disease detection procedure is beneficial. The indications of plant diseases are noticeable in various portions of a plant such as leaves, etc. Physical recognition of plant disease by means of leaf descriptions is a wearisome job. The k-mean clustering procedure is utilized for the segmentation of input images. The GLCM (gray-level co-occurrence matrices) procedure is utilized which excerpts textural features from the input image and implementation of KNN (k-nearest neighbors) algorithm for image classification and produced classification accuracy from 70 to 75% for different inputs. Hence, it is required to develop machine learning based computational methods which will make the process of disease detection and classification using leaf images automatic. .. To advance concert of standing methods machine learning and deep learning algorithms will be utilized for more accurate classification. ","GLCM, K-Means, KNN algorithm, bacterial, fungal, viral, machine learning, deep learning, neural networks, support vector machines, genetic algorithm, convolution neural networks.",,,,2021-01-01,,,
Dr Dammavalam Srinivasa Rao,"D. Srinivasa Rao, Ch. Ramesh Babu, Nagendra Kumar, N. Rajasekhar, T. Ravi",No,Medical Image Fusion Using Transform Based Fusion Techniques,Journal,International Journal of Recent Technology and Engineering (IJRTE),yes,No,"Volume 8, Issue 2, Pages 309-317, Publisher Blue Eyes Intelligence Engineering & Sciences Publication",2019.0,July,2019-20,https://www.ijrte.org/download/volume-8-issue-2/,https://www.ijrte.org/wp-content/uploads/papers/v8i2/A9180058119.pdf,"ISSN: 2277-3878,",IJRTE,2.0,,,,,,2019-07-01,,,
Nimmala Mangathayaru,"G Rajesh Kumar, D Srinivasa Rao, N Rajasekhar, Ch Ramesh Babu, Ch Rohini, T Ravi, N Mangathayaru",No,Emotion Detection Using Machine Learning and Deep Learning,Book Chapter,International Conference on Intelligent Computing and Communication,No,No,"Pages 705-715,Publisher Springer Nature Singapore",2022.0,November,2021-22,https://link.springer.com/chapter/10.1007/978-981-99-1588-0_62,,,Springer link,0.0,"The interaction between human and computer for some real application like driver state surveillance, personalized learning, health monitoring, etc. Most reported facial emotion recognition systems, however, are not fully considered subject-independent dynamic features. The main objective of the emotion detection model is to detect the emotions of the people by scanning their pictures in the model. The model detects the emotion of the person in the photograph. The emotions that can be detected in the model proposed by us is sad, angry, happy, shocked, surprised, neutral, disgust, etc. This project is focusing on detecting the emotion based on input human face images. The system can also be integrated as a part of video streaming. In the video stream some random pictures are taken to classify the emotion.","Emotion detection,Image processing,Classification,Convolutional neural networks (CNN)",,,,2023-09-20,,,
Nimmala Mangathayaru,"Rajesh Kumar Gunupudi, Mangathayaru Nimmala, Narsimha Gugulothu, Suresh Reddy Gali",,CLAPP: A self constructing feature clustering approach for anomaly detection,Journal,Future Generation Computer Systems,No,No,"Volume 74, Pages 417-429, Publisher Elsevier, North-Holland",2017.0,September,2017-18,https://www.sciencedirect.com/science/article/abs/pii/S0167739X16308718,https://doi.org/10.1016/j.future.2016.12.040,ISSN 0167-739X,Science direct,61.0,"The term internet of things is a buzz word these days and as per Google survey conducted recently, it has even dominated the buzz word big data predominantly. However, IoT area is still not matured and is throwing light on lot of research issues towards the data mining researchers. Security in IoT throws several challenges because of limited resources. In this context, IoT gains importance once again from data miners towards anomaly mining or intrusion detection. Intrusion detection is classified as NP-class in the literature even today. Algorithms addressing privacy and security issues in IoT must consider the complexities involved and hence require re-attention from all researchers. One more problem faced when judging for intrusion is the use of high dimensionality, classifier choice, and distance measure. For example, the traditional distance measure, such as Euclidean misjudges the similarity. In this paper, the objective is to design a fuzzy membership function to address both dimensionality and anomaly mining so as reduce the computational complexity and increase computational accuracies of classifier algorithms. We validate the proposed measure using several experimentations on NSL-KDD and DARPA datasets using kNN, J48 and CANN using Gaussian measure. Improved accuracies of classifiers on U2R and R2L attacks have been recorded in the experimental results obtained for experiments conducted.","Internet of Things (IoT), big data, data mining, security, anomaly mining, intrusion detection, NP-class, limited resources, privacy, high dimensionality, classifier choice, distance measure, fuzzy membership function, computational complexity, computational accuracies, classifier algorithms, NSL-KDD dataset, DARPA dataset, kNN, J48, CANN, Gaussian measure, U2R attacks, R2L attacks, experimental results.",,,,2017-09-01,,,
Nimmala Mangathayaru,"Gunupudi Rajesh Kumar, Nimmala Mangathayaru, Gugulothu Narsimha, Gali Suresh Reddy",,Evolutionary approach for intrusion detection,Conference,2017 International Conference on Engineering & MIS (ICEMIS),No,No,"2017 International Conference on Engineering & MIS (ICEMIS), Monastir, Tunisia, Publisher IEEE",2017.0,May,2016-17,https://ieeexplore.ieee.org/abstract/document/8273116,DOI: 10.1109/ICEMIS.2017.8273116,ISSN: 2575-1328,IEEE Xplore,12.0,"In this work, we design and propose an improved fuzzy membership function to detect anomalies and intrusions. The objective of the present approach is to achieve an optimal transformation matrix which can improve classifier accuracies. The transformation matrix is aimed at mapping the original process onto a new fuzzy space, so that the resultant representation is free from noise data and facilitates to improve the overall accuracy and also individual class accuracies. Experimental results show that accuracies obtained using our approach is better compared to other approaches. In particular U2R and R2L accuracies are recorded to be very much promising. This research shows an approach which addresses the improvement in overall accuracy and also improvement in detecting R2L and U2R attack accuracies. In future, we plan to extend this work by applying new measures for dimensionality reduction and classification for improving U2R and R2L attack classification accuracies.","Intrusion detection,Dimensionality reduction,Frequency measurement,Feature extraction,Classification algorithms,Protocols,Knowledge based systems",,,,2017-05-08,,,
